Symbol,Description,Price,Price - Currency,Price Change % 1 day,Price Change % 1 week,Price Change % 1 month
SPY,S&P 500 ETF,692.24,USD,0.27,0.23,1.92
BRK.A,Berkshire Hathaway Inc.,738690.9,USD,-0.6384919763753060,-1.252453011790500,-2.134220985691570
NVR,"NVR, Inc.",7623.01,USD,0.5573319825452860,0.5452624553693340,4.5283205147015400
BKNG,Booking Holdings Inc. Common Stock,5193.06,USD,0.11644450956425800,-5.445083947699510,-3.0300653741225900
SEB,Seaboard Corporation,4635,USD,-1.356533879295300,5.182179619846410,4.2786884508259100
AZO,"AutoZone, Inc.",3465.45,USD,-0.2076218230405520,1.2942940572961800,2.1804511278195400
BH.A,Biglari Holdings Inc.,2343.23,USD,2.82781651666016,8.987441860465120,34.66452113445020
FCNCA,"First Citizens BancShares, Inc.",2160.13,USD,-0.052284315630702000,-0.6923533116647260,0.6499920789495880
MELI,"MercadoLibre, Inc.",2098.85,USD,-0.14748209995480000,-3.6522050486363900,4.199557157467250
MKL,Markel Group Inc.,2084.14,USD,-0.6516319399755020,-2.28334052249584,-3.047472844416540
WTM,"White Mountains Insurance Group, Ltd.",2064.19,USD,-0.6148409213465830,0.7683858527179200,-0.6660154088247110
FICO,Fair Isaac Corporation,1581.16,USD,-2.1734960929041100,-5.065654776557610,-6.4745477990323000
KLAC,KLA Corporation,1545.449,USD,7.734332520041830,10.38921428571430,27.189073970438200
MTD,"Mettler-Toledo International, Inc.",1496.61,USD,0.7438272435983710,0.7736748545572080,7.346201019947050
TDG,Transdigm Group Inc.,1433.54,USD,0.6812563209349400,2.977537371865330,7.79711997593714
ASML,ASML Holding NV Sponsored ADR,1331.6,USD,5.371443041180000,4.531039030363910,24.464883255753100
BAC/PL,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,1244.8,USD,0.10373861086762200,-1.1239525000993000,-0.5750798722044760
WFC/PL,Wells Fargo & Company 7.50% Non-Cumulative Perpetual Convertible,1237.99,USD,0.9680944768864480,0.3339087586212580,2.1443894389439000
BLK,"BlackRock, Inc.",1156.65,USD,5.9348811649952100,6.593862316837180,8.063792813498530
GHC,Graham Holdings Company,1149.3,USD,-0.051309255667946100,0.2897083718738490,4.6149645002730800
FIX,"Comfort Systems USA, Inc.",1091.04,USD,3.6026967999240400,7.979928939737330,16.90257047648640
GWW,"W.W. Grainger, Inc.",1063.3,USD,0.9541894137194360,3.251053582179410,5.376344086021510
LLY,Eli Lilly and Company,1032.97,USD,-3.756673406069180,-2.8761894016322500,-3.881155320653590
MPWR,"Monolithic Power Systems, Inc.",1009.925,USD,2.676392842618940,5.313513457146720,11.426475131294400
GS,"Goldman Sachs Group, Inc. (The)",975.86,USD,4.630791169438290,3.927666190973180,11.0193401592719
COST,Costco Wholesale Corporation,956.75,USD,0.6067425182443360,3.4458524349104800,10.948117911728500
PH,Parker-Hannifin Corporation,944.58,USD,0.894030185535297,2.5613741734438000,7.4656412123418600
URI,"United Rentals, Inc.",926.57,USD,1.0061700132993200,-1.3016755610945900,14.487470963277800
MCK,McKesson Corporation,844.13,USD,1.1952143473674100,3.439698061417060,2.9062892391715200
ARGX,argenx SE Sponsored ADR,813.24,USD,1.7402074237173600,3.1389110832096800,-3.295082941910940
EQIX,"Equinix, Inc.",801.82,USD,0.35042927586294100,0.1836696445305210,4.65438028610213
USB/PA,"U.S. Bancorp Depositary Shares, Each representing a 1/100th interest in a share of Series A Non-CumulativePerpetual Pfd Stock",781.1,USD,0.0038408849398866600,2.104575163398700,2.174695052159980
REGN,"Regeneron Pharmaceuticals, Inc.",741.92,USD,-1.6203887872278400,-6.8583265331743100,-3.880187078134930
